Location,Year,Company Type,Number of Companies,Productivity
Lousada,2009,"Agriculture, farming, hunting, forestry and fishing",73,-
Marco de Canaveses,2009,"Agriculture, farming, hunting, forestry and fishing",90,7445.7
Paços de Ferreira,2009,"Agriculture, farming, hunting, forestry and fishing",49,6256.1
Penafiel,2009,"Agriculture, farming, hunting, forestry and fishing",109,-
Resende,2009,"Agriculture, farming, hunting, forestry and fishing",156,1743.9
Douro,2009,"Agriculture, farming, hunting, forestry and fishing",2161,8016.1
Alijó,2009,"Agriculture, farming, hunting, forestry and fishing",199,8223.4
Armamar,2009,"Agriculture, farming, hunting, forestry and fishing",163,9204.4
Carrazeda de Ansiães,2009,"Agriculture, farming, hunting, forestry and fishing",117,9005.5
Freixo de Espada à Cinta,2009,"Agriculture, farming, hunting, forestry and fishing",52,11427.7
Lamego,2009,"Agriculture, farming, hunting, forestry and fishing",187,7500
Mesão Frio,2009,"Agriculture, farming, hunting, forestry and fishing",32,7940.3
Moimenta da Beira,2009,"Agriculture, farming, hunting, forestry and fishing",115,3140.3
Murça,2009,"Agriculture, farming, hunting, forestry and fishing",80,5628.4
Penedono,2009,"Agriculture, farming, hunting, forestry and fishing",35,6516.3
Peso da Régua,2009,"Agriculture, farming, hunting, forestry and fishing",166,8442
Sabrosa,2009,"Agriculture, farming, hunting, forestry and fishing",106,12203.1
Santa Marta de Penaguião,2009,"Agriculture, farming, hunting, forestry and fishing",131,6359.6
São João da Pesqueira,2009,"Agriculture, farming, hunting, forestry and fishing",220,8471.1
Sernancelhe,2009,"Agriculture, farming, hunting, forestry and fishing",55,6560.7
Tabuaço,2009,"Agriculture, farming, hunting, forestry and fishing",52,8496.1
Tarouca,2009,"Agriculture, farming, hunting, forestry and fishing",37,9566.5
Torre de Moncorvo,2009,"Agriculture, farming, hunting, forestry and fishing",68,5590.5
Vila Nova de Foz Côa,2009,"Agriculture, farming, hunting, forestry and fishing",101,10352.7
Vila Real,2009,"Agriculture, farming, hunting, forestry and fishing",245,7866.2
Terras de Trás-os-Montes,2009,"Agriculture, farming, hunting, forestry and fishing",1261,6891.3
Alfândega da Fé,2009,"Agriculture, farming, hunting, forestry and fishing",87,5090.4
Bragança,2009,"Agriculture, farming, hunting, forestry and fishing",258,3461
Macedo de Cavaleiros,2009,"Agriculture, farming, hunting, forestry and fishing",145,7424.3
Miranda do Douro,2009,"Agriculture, farming, hunting, forestry and fishing",115,5650.3
Mirandela,2009,"Agriculture, farming, hunting, forestry and fishing",216,3968.7
Mogadouro,2009,"Agriculture, farming, hunting, forestry and fishing",203,8680.2
Vila Flor,2009,"Agriculture, farming, hunting, forestry and fishing",80,11193.6
Vimioso,2009,"Agriculture, farming, hunting, forestry and fishing",68,1167.1
Vinhais,2009,"Agriculture, farming, hunting, forestry and fishing",89,4684.5
Centro,2009,"Agriculture, farming, hunting, forestry and fishing",13808,12542.7
Oeste,2009,"Agriculture, farming, hunting, forestry and fishing",4446,13989.9
Alcobaça,2009,"Agriculture, farming, hunting, forestry and fishing",660,13973.7
Alenquer,2009,"Agriculture, farming, hunting, forestry and fishing",266,11261.7
Arruda dos Vinhos,2009,"Agriculture, farming, hunting, forestry and fishing",81,-
Bombarral,2009,"Agriculture, farming, hunting, forestry and fishing",311,15415.8
Cadaval,2009,"Agriculture, farming, hunting, forestry and fishing",316,11278.7
Caldas da Rainha,2009,"Agriculture, farming, hunting, forestry and fishing",499,10642.8
Lourinhã,2009,"Agriculture, farming, hunting, forestry and fishing",562,18998.6
Nazaré,2009,"Agriculture, farming, hunting, forestry and fishing",171,10133.1
Óbidos,2009,"Agriculture, farming, hunting, forestry and fishing",241,10532.1
Peniche,2009,"Agriculture, farming, hunting, forestry and fishing",343,18101.2
Sobral de Monte Agraço,2009,"Agriculture, farming, hunting, forestry and fishing",75,-
Torres Vedras,2009,"Agriculture, farming, hunting, forestry and fishing",921,12158.4
Região de Aveiro,2009,"Agriculture, farming, hunting, forestry and fishing",1739,15702.5
Águeda,2009,"Agriculture, farming, hunting, forestry and fishing",168,11949.6
Albergaria-a-Velha,2009,"Agriculture, farming, hunting, forestry and fishing",120,10366
Anadia,2009,"Agriculture, farming, hunting, forestry and fishing",143,14226.7
Aveiro,2009,"Agriculture, farming, hunting, forestry and fishing",152,-
Estarreja,2009,"Agriculture, farming, hunting, forestry and fishing",137,-
Ílhavo,2009,"Agriculture, farming, hunting, forestry and fishing",183,32273.6
Murtosa,2009,"Agriculture, farming, hunting, forestry and fishing",360,4092.9
Oliveira do Bairro,2009,"Agriculture, farming, hunting, forestry and fishing",85,-
Ovar,2009,"Agriculture, farming, hunting, forestry and fishing",162,10220.6
Sever do Vouga,2009,"Agriculture, farming, hunting, forestry and fishing",109,-
Vagos,2009,"Agriculture, farming, hunting, forestry and fishing",120,-
Região de Coimbra,2009,"Agriculture, farming, hunting, forestry and fishing",1814,12317.8
Arganil,2009,"Agriculture, farming, hunting, forestry and fishing",48,11494.3
Cantanhede,2009,"Agriculture, farming, hunting, forestry and fishing",216,12010
Coimbra,2009,"Agriculture, farming, hunting, forestry and fishing",179,13488.7
Condeixa-a-Nova,2009,"Agriculture, farming, hunting, forestry and fishing",32,7824.4
Figueira da Foz,2009,"Agriculture, farming, hunting, forestry and fishing",280,12386.9
Góis,2009,"Agriculture, farming, hunting, forestry and fishing",31,12733.4
Lousã,2009,"Agriculture, farming, hunting, forestry and fishing",38,11189.8
Mealhada,2009,"Agriculture, farming, hunting, forestry and fishing",56,19450.2
Mira,2009,"Agriculture, farming, hunting, forestry and fishing",69,17447.8
Miranda do Corvo,2009,"Agriculture, farming, hunting, forestry and fishing",94,13263.8
Montemor-o-Velho,2009,"Agriculture, farming, hunting, forestry and fishing",349,8679.7
Mortágua,2009,"Agriculture, farming, hunting, forestry and fishing",120,14430
Oliveira do Hospital,2009,"Agriculture, farming, hunting, forestry and fishing",55,5312.9
Pampilhosa da Serra,2009,"Agriculture, farming, hunting, forestry and fishing",19,11325.1
Penacova,2009,"Agriculture, farming, hunting, forestry and fishing",68,11342.2
Penela,2009,"Agriculture, farming, hunting, forestry and fishing",19,16274.9
Soure,2009,"Agriculture, farming, hunting, forestry and fishing",71,9757.1
Tábua,2009,"Agriculture, farming, hunting, forestry and fishing",54,7666.8
Vila Nova de Poiares,2009,"Agriculture, farming, hunting, forestry and fishing",16,11685.2
Região de Leiria,2009,"Agriculture, farming, hunting, forestry and fishing",1234,14198
Alvaiázere,2009,"Agriculture, farming, hunting, forestry and fishing",45,10954.5
Ansião,2009,"Agriculture, farming, hunting, forestry and fishing",47,9484.9
Batalha,2009,"Agriculture, farming, hunting, forestry and fishing",67,13090.2
Castanheira de Pêra,2009,"Agriculture, farming, hunting, forestry and fishing",11,17546.4
Figueiró dos Vinhos,2009,"Agriculture, farming, hunting, forestry and fishing",26,14101
Leiria,2009,"Agriculture, farming, hunting, forestry and fishing",545,15574.7
Marinha Grande,2009,"Agriculture, farming, hunting, forestry and fishing",35,4947.6
Pedrógão Grande,2009,"Agriculture, farming, hunting, forestry and fishing",18,6121.1
Pombal,2009,"Agriculture, farming, hunting, forestry and fishing",246,16677
Porto de Mós,2009,"Agriculture, farming, hunting, forestry and fishing",194,9670.4
Viseu Dão Lafões,2009,"Agriculture, farming, hunting, forestry and fishing",1310,9808.9
Aguiar da Beira,2009,"Agriculture, farming, hunting, forestry and fishing",66,7466.7
Carregal do Sal,2009,"Agriculture, farming, hunting, forestry and fishing",74,5470.1
Castro Daire,2009,"Agriculture, farming, hunting, forestry and fishing",92,6102.9
Mangualde,2009,"Agriculture, farming, hunting, forestry and fishing",41,9570.6
Nelas,2009,"Agriculture, farming, hunting, forestry and fishing",39,3983.9
Oliveira de Frades,2009,"Agriculture, farming, hunting, forestry and fishing",149,9620.3
Penalva do Castelo,2009,"Agriculture, farming, hunting, forestry and fishing",38,9017.1
Santa Comba Dão,2009,"Agriculture, farming, hunting, forestry and fishing",64,13739.7
São Pedro do Sul,2009,"Agriculture, farming, hunting, forestry and fishing",148,9246.1
Sátão,2009,"Agriculture, farming, hunting, forestry and fishing",62,9662.1
Tondela,2009,"Agriculture, farming, hunting, forestry and fishing",158,13123.7
Vila Nova de Paiva,2009,"Agriculture, farming, hunting, forestry and fishing",39,13137.7
Viseu,2009,"Agriculture, farming, hunting, forestry and fishing",186,11019.3
Vouzela,2009,"Agriculture, farming, hunting, forestry and fishing",154,6797.1
Beira Baixa,2009,"Agriculture, farming, hunting, forestry and fishing",769,4177.2
Castelo Branco,2009,"Agriculture, farming, hunting, forestry and fishing",350,4665.6
Idanha-a-Nova,2009,"Agriculture, farming, hunting, forestry and fishing",250,1989
Oleiros,2009,"Agriculture, farming, hunting, forestry and fishing",33,15351.8
Penamacor,2009,"Agriculture, farming, hunting, forestry and fishing",63,5065.1
Proença-a-Nova,2009,"Agriculture, farming, hunting, forestry and fishing",37,5812.5
Vila Velha de Ródão,2009,"Agriculture, farming, hunting, forestry and fishing",36,3208.7
Médio Tejo,2009,"Agriculture, farming, hunting, forestry and fishing",1076,14908.7
Abrantes,2009,"Agriculture, farming, hunting, forestry and fishing",222,6571.1
Alcanena,2009,"Agriculture, farming, hunting, forestry and fishing",84,5351
Constância,2009,"Agriculture, farming, hunting, forestry and fishing",21,53969
Entroncamento,2009,"Agriculture, farming, hunting, forestry and fishing",15,5621.8
Ferreira do Zêzere,2009,"Agriculture, farming, hunting, forestry and fishing",70,23338.5
Mação,2009,"Agriculture, farming, hunting, forestry and fishing",50,8214.7
Ourém,2009,"Agriculture, farming, hunting, forestry and fishing",112,23824.6
Sardoal,2009,"Agriculture, farming, hunting, forestry and fishing",31,7920.3
Sertã,2009,"Agriculture, farming, hunting, forestry and fishing",118,14781.6
Tomar,2009,"Agriculture, farming, hunting, forestry and fishing",155,13190.4
Torres Novas,2009,"Agriculture, farming, hunting, forestry and fishing",162,9441.2
Vila de Rei,2009,"Agriculture, farming, hunting, forestry and fishing",20,10377.2
Vila Nova da Barquinha,2009,"Agriculture, farming, hunting, forestry and fishing",16,5510.1
Beiras e Serra da Estrela,2009,"Agriculture, farming, hunting, forestry and fishing",1420,6464.9
Almeida,2009,"Agriculture, farming, hunting, forestry and fishing",99,-
Belmonte,2009,"Agriculture, farming, hunting, forestry and fishing",54,6688.9
Celorico da Beira,2009,"Agriculture, farming, hunting, forestry and fishing",99,2145.8
Covilhã,2009,"Agriculture, farming, hunting, forestry and fishing",147,7150.3
Figueira de Castelo Rodrigo,2009,"Agriculture, farming, hunting, forestry and fishing",127,-
Fornos de Algodres,2009,"Agriculture, farming, hunting, forestry and fishing",17,10833
Fundão,2009,"Agriculture, farming, hunting, forestry and fishing",268,6798.5
Gouveia,2009,"Agriculture, farming, hunting, forestry and fishing",92,-
Guarda,2009,"Agriculture, farming, hunting, forestry and fishing",137,9998.4
Manteigas,2009,"Agriculture, farming, hunting, forestry and fishing",8,429.2
Mêda,2009,"Agriculture, farming, hunting, forestry and fishing",47,-
Pinhel,2009,"Agriculture, farming, hunting, forestry and fishing",109,-
Sabugal,2009,"Agriculture, farming, hunting, forestry and fishing",92,5241.3
Seia,2009,"Agriculture, farming, hunting, forestry and fishing",63,-
Trancoso,2009,"Agriculture, farming, hunting, forestry and fishing",61,-
Área Metropolitana de Lisboa,2009,"Agriculture, farming, hunting, forestry and fishing",5239,11208.3
Área Metropolitana de Lisboa,2009,"Agriculture, farming, hunting, forestry and fishing",5239,11208.3
Alcochete,2009,"Agriculture, farming, hunting, forestry and fishing",96,-
Almada,2009,"Agriculture, farming, hunting, forestry and fishing",236,5593.8
Amadora,2009,"Agriculture, farming, hunting, forestry and fishing",51,6101.3
Barreiro,2009,"Agriculture, farming, hunting, forestry and fishing",58,2356
Cascais,2009,"Agriculture, farming, hunting, forestry and fishing",274,-
Lisboa,2009,"Agriculture, farming, hunting, forestry and fishing",1150,-
Loures,2009,"Agriculture, farming, hunting, forestry and fishing",279,11832.7
Mafra,2009,"Agriculture, farming, hunting, forestry and fishing",575,10947
Moita,2009,"Agriculture, farming, hunting, forestry and fishing",110,-
Montijo,2009,"Agriculture, farming, hunting, forestry and fishing",355,-
Odivelas,2009,"Agriculture, farming, hunting, forestry and fishing",58,13358.9
Oeiras,2009,"Agriculture, farming, hunting, forestry and fishing",166,-
Palmela,2009,"Agriculture, farming, hunting, forestry and fishing",459,-
Seixal,2009,"Agriculture, farming, hunting, forestry and fishing",102,-
Sesimbra,2009,"Agriculture, farming, hunting, forestry and fishing",263,-
Setúbal,2009,"Agriculture, farming, hunting, forestry and fishing",404,-
Sintra,2009,"Agriculture, farming, hunting, forestry and fishing",420,-
Vila Franca de Xira,2009,"Agriculture, farming, hunting, forestry and fishing",183,7919
Alentejo,2009,"Agriculture, farming, hunting, forestry and fishing",14590,7906.1
Alentejo Litoral,2009,"Agriculture, farming, hunting, forestry and fishing",2686,9751.1
Alcácer do Sal,2009,"Agriculture, farming, hunting, forestry and fishing",627,4275.9
Grândola,2009,"Agriculture, farming, hunting, forestry and fishing",460,7125.9
Odemira,2009,"Agriculture, farming, hunting, forestry and fishing",836,12322.7
Santiago do Cacém,2009,"Agriculture, farming, hunting, forestry and fishing",610,11145.5
Sines,2009,"Agriculture, farming, hunting, forestry and fishing",153,11432.1
Baixo Alentejo,2009,"Agriculture, farming, hunting, forestry and fishing",3351,5527.1
Aljustrel,2009,"Agriculture, farming, hunting, forestry and fishing",216,2601.9
Almodôvar,2009,"Agriculture, farming, hunting, forestry and fishing",189,3144.1
Alvito,2009,"Agriculture, farming, hunting, forestry and fishing",44,13443.3
Barrancos,2009,"Agriculture, farming, hunting, forestry and fishing",63,1930.8
Beja,2009,"Agriculture, farming, hunting, forestry and fishing",814,6056.9
Castro Verde,2009,"Agriculture, farming, hunting, forestry and fishing",172,89.2
Cuba,2009,"Agriculture, farming, hunting, forestry and fishing",88,6798.6
Ferreira do Alentejo,2009,"Agriculture, farming, hunting, forestry and fishing",346,6826.2
Mértola,2009,"Agriculture, farming, hunting, forestry and fishing",203,1903.4
Moura,2009,"Agriculture, farming, hunting, forestry and fishing",474,4463.3
Ourique,2009,"Agriculture, farming, hunting, forestry and fishing",179,3551.9
Serpa,2009,"Agriculture, farming, hunting, forestry and fishing",442,6014.9
Vidigueira,2009,"Agriculture, farming, hunting, forestry and fishing",121,13094.3
Lezíria do Tejo,2009,"Agriculture, farming, hunting, forestry and fishing",3266,11429.6
Almeirim,2009,"Agriculture, farming, hunting, forestry and fishing",545,12988
Alpiarça,2009,"Agriculture, farming, hunting, forestry and fishing",190,10815.4
Azambuja,2009,"Agriculture, farming, hunting, forestry and fishing",152,12041.9
Benavente,2009,"Agriculture, farming, hunting, forestry and fishing",202,10601.1
Cartaxo,2009,"Agriculture, farming, hunting, forestry and fishing",211,13569.1
Chamusca,2009,"Agriculture, farming, hunting, forestry and fishing",238,10149.3
Coruche,2009,"Agriculture, farming, hunting, forestry and fishing",467,7470.3
Golegã,2009,"Agriculture, farming, hunting, forestry and fishing",111,8187.2
Rio Maior,2009,"Agriculture, farming, hunting, forestry and fishing",347,13156.8
Salvaterra de Magos,2009,"Agriculture, farming, hunting, forestry and fishing",242,12676.4
Santarém,2009,"Agriculture, farming, hunting, forestry and fishing",561,12637.2
Alto Alentejo,2009,"Agriculture, farming, hunting, forestry and fishing",2020,4990.5
Alter do Chão,2009,"Agriculture, farming, hunting, forestry and fishing",85,4485.7
Arronches,2009,"Agriculture, farming, hunting, forestry and fishing",74,5581.3
Avis,2009,"Agriculture, farming, hunting, forestry and fishing",115,6602.9
Campo Maior,2009,"Agriculture, farming, hunting, forestry and fishing",143,3918.6
Castelo de Vide,2009,"Agriculture, farming, hunting, forestry and fishing",47,2646.4
Crato,2009,"Agriculture, farming, hunting, forestry and fishing",63,-1725.3
Elvas,2009,"Agriculture, farming, hunting, forestry and fishing",415,2861.4
Fronteira,2009,"Agriculture, farming, hunting, forestry and fishing",104,4921.5
Gavião,2009,"Agriculture, farming, hunting, forestry and fishing",55,5033.8
Marvão,2009,"Agriculture, farming, hunting, forestry and fishing",61,3753.6
Monforte,2009,"Agriculture, farming, hunting, forestry and fishing",75,6919.2
Nisa,2009,"Agriculture, farming, hunting, forestry and fishing",137,3330.1
Ponte de Sor,2009,"Agriculture, farming, hunting, forestry and fishing",260,8453.6
Portalegre,2009,"Agriculture, farming, hunting, forestry and fishing",241,5106.1
Sousel,2009,"Agriculture, farming, hunting, forestry and fishing",145,7125.1
Alentejo Central,2009,"Agriculture, farming, hunting, forestry and fishing",3267,6161.6
Alandroal,2009,"Agriculture, farming, hunting, forestry and fishing",134,6524
Arraiolos,2009,"Agriculture, farming, hunting, forestry and fishing",167,7545.4
Borba,2009,"Agriculture, farming, hunting, forestry and fishing",143,10095.7
Estremoz,2009,"Agriculture, farming, hunting, forestry and fishing",406,7401.6
Évora,2009,"Agriculture, farming, hunting, forestry and fishing",653,3684.9
Montemor-o-Novo,2009,"Agriculture, farming, hunting, forestry and fishing",406,7119.3
Mora,2009,"Agriculture, farming, hunting, forestry and fishing",114,7413
Mourão,2009,"Agriculture, farming, hunting, forestry and fishing",103,56.9
Portel,2009,"Agriculture, farming, hunting, forestry and fishing",120,9263.2
Redondo,2009,"Agriculture, farming, hunting, forestry and fishing",217,8777.5
Reguengos de Monsaraz,2009,"Agriculture, farming, hunting, forestry and fishing",466,5132.5
Vendas Novas,2009,"Agriculture, farming, hunting, forestry and fishing",155,5575.7
Viana do Alentejo,2009,"Agriculture, farming, hunting, forestry and fishing",115,2976.9
Vila Viçosa,2009,"Agriculture, farming, hunting, forestry and fishing",68,5103.2
Algarve,2009,"Agriculture, farming, hunting, forestry and fishing",3883,9322.2
Algarve,2009,"Agriculture, farming, hunting, forestry and fishing",3883,9322.2
Albufeira,2009,"Agriculture, farming, hunting, forestry and fishing",176,-
Alcoutim,2009,"Agriculture, farming, hunting, forestry and fishing",64,1944.4
Aljezur,2009,"Agriculture, farming, hunting, forestry and fishing",112,-
Castro Marim,2009,"Agriculture, farming, hunting, forestry and fishing",59,-
Faro,2009,"Agriculture, farming, hunting, forestry and fishing",616,8978.3
Lagoa,2009,"Agriculture, farming, hunting, forestry and fishing",102,-
Lagos,2009,"Agriculture, farming, hunting, forestry and fishing",170,-
Loulé,2009,"Agriculture, farming, hunting, forestry and fishing",418,8268.2
Monchique,2009,"Agriculture, farming, hunting, forestry and fishing",130,-
Olhão,2009,"Agriculture, farming, hunting, forestry and fishing",704,9773.2
Portimão,2009,"Agriculture, farming, hunting, forestry and fishing",231,-
São Brás de Alportel,2009,"Agriculture, farming, hunting, forestry and fishing",37,-
Silves,2009,"Agriculture, farming, hunting, forestry and fishing",465,8521.8
Tavira,2009,"Agriculture, farming, hunting, forestry and fishing",344,6357.1
Vila do Bispo,2009,"Agriculture, farming, hunting, forestry and fishing",116,-
Vila Real de Santo António,2009,"Agriculture, farming, hunting, forestry and fishing",139,16870.7
Continente,2009,Mining and quarrying,1377,42777.6
Norte,2009,Mining and quarrying,451,18616.7
Alto Minho,2009,Mining and quarrying,72,-
Arcos de Valdevez,2009,Mining and quarrying,2,-
Caminha,2009,Mining and quarrying,1,-
Melgaço,2009,Mining and quarrying,0,-
Monção,2009,Mining and quarrying,22,29470.4
Paredes de Coura,2009,Mining and quarrying,0,-
Ponte da Barca,2009,Mining and quarrying,3,21202.6
Ponte de Lima,2009,Mining and quarrying,22,16298.2
Valença,2009,Mining and quarrying,12,11912.2
Viana do Castelo,2009,Mining and quarrying,8,59019.8
Vila Nova de Cerveira,2009,Mining and quarrying,2,-
Cávado,2009,Mining and quarrying,56,12645.5
Amares,2009,Mining and quarrying,5,3630.7
Barcelos,2009,Mining and quarrying,8,17278.9
Braga,2009,Mining and quarrying,19,-4030.5
Esposende,2009,Mining and quarrying,16,36172.2
Terras de Bouro,2009,Mining and quarrying,0,-
Vila Verde,2009,Mining and quarrying,8,21451.4
Ave,2009,Mining and quarrying,55,16608.6
Cabeceiras de Basto,2009,Mining and quarrying,2,-
Fafe,2009,Mining and quarrying,2,-
Guimarães,2009,Mining and quarrying,17,22969.9
Mondim de Basto,2009,Mining and quarrying,21,8109
Póvoa de Lanhoso,2009,Mining and quarrying,5,-
Vieira do Minho,2009,Mining and quarrying,1,-
Vila Nova de Famalicão,2009,Mining and quarrying,7,14056.1
Vizela,2009,Mining and quarrying,0,-
Área Metropolitana do Porto,2009,Mining and quarrying,54,-
Arouca,2009,Mining and quarrying,8,15122.3
Espinho,2009,Mining and quarrying,0,-
Gondomar,2009,Mining and quarrying,1,-
Maia,2009,Mining and quarrying,4,33906.6
Matosinhos,2009,Mining and quarrying,2,-
Oliveira de Azeméis,2009,Mining and quarrying,5,41682.8
Paredes,2009,Mining and quarrying,1,-
Porto,2009,Mining and quarrying,6,42640.5
Póvoa de Varzim,2009,Mining and quarrying,3,-
Santa Maria da Feira,2009,Mining and quarrying,2,-
Santo Tirso,2009,Mining and quarrying,6,12663.8
São João da Madeira,2009,Mining and quarrying,0,-
Trofa,2009,Mining and quarrying,2,-
Vale de Cambra,2009,Mining and quarrying,1,-
Valongo,2009,Mining and quarrying,5,29039.7
Vila do Conde,2009,Mining and quarrying,3,10578.1
Vila Nova de Gaia,2009,Mining and quarrying,5,26018.8
Alto Tâmega,2009,Mining and quarrying,54,19563
Boticas,2009,Mining and quarrying,2,-
Chaves,2009,Mining and quarrying,12,34286.5
Montalegre,2009,Mining and quarrying,7,-
Ribeira de Pena,2009,Mining and quarrying,0,-
Valpaços,2009,Mining and quarrying,4,26744.3
Vila Pouca de Aguiar,2009,Mining and quarrying,29,16490.7
Tâmega e Sousa,2009,Mining and quarrying,91,14098.4
Amarante,2009,Mining and quarrying,8,21004.5
Baião,2009,Mining and quarrying,0,-
Castelo de Paiva,2009,Mining and quarrying,1,-
Celorico de Basto,2009,Mining and quarrying,3,-11062
Cinfães,2009,Mining and quarrying,3,-217.3
Felgueiras,2009,Mining and quarrying,2,-
Lousada,2009,Mining and quarrying,0,-
Marco de Canaveses,2009,Mining and quarrying,32,17435.2
Paços de Ferreira,2009,Mining and quarrying,9,12046.4
Penafiel,2009,Mining and quarrying,33,10795.5
Resende,2009,Mining and quarrying,0,-
Douro,2009,Mining and quarrying,54,20810.9
Alijó,2009,Mining and quarrying,1,-
Armamar,2009,Mining and quarrying,2,-
Carrazeda de Ansiães,2009,Mining and quarrying,0,-
Freixo de Espada à Cinta,2009,Mining and quarrying,0,-
Lamego,2009,Mining and quarrying,1,-
Mesão Frio,2009,Mining and quarrying,0,-
Moimenta da Beira,2009,Mining and quarrying,1,-
Murça,2009,Mining and quarrying,1,-
Penedono,2009,Mining and quarrying,4,15157.6
Peso da Régua,2009,Mining and quarrying,0,-
Sabrosa,2009,Mining and quarrying,7,-
Santa Marta de Penaguião,2009,Mining and quarrying,0,-
São João da Pesqueira,2009,Mining and quarrying,5,13327
Sernancelhe,2009,Mining and quarrying,4,28145.1
Tabuaço,2009,Mining and quarrying,1,-
Tarouca,2009,Mining and quarrying,1,-
